smiles,split,y_log10,y_lower,y_upper
CCCc1ccccc1,test,1.3601514477826384,2.164,2.661
CCc1cccc2ccccc12,test,1.8502376796666677,2.164,2.661
C1=CCC=CC1,test,1.3601514477826384,1.661,2.164
ClC(Cl)Cl,test,1.8502376796666677,2.661,3.176
Nc1ccc(F)cc1,test,2.3248994970523134,2.164,2.661
CCCCCCCCCc1ccc(O)c(CCCCCCCCC)c1,test,2.0170333392987803,1.661,2.164
COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,test,2.8502376796666677,2.164,2.661
c1ccc2c(c1)-c1cccc3cccc-2c13,test,2.8502376796666677,3.176,inf
O=C(OC1CCCCC1)c1ccccc1C(=O)OC1CCCCC1,test,2.1903316981702914,1.176,1.661
COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1,test,2.8502376796666677,1.176,1.661
Cc1ccc(OP(=O)(Oc2ccc(C)cc2)Oc2ccc(C)cc2)cc1,test,0.8502376796666677,0.671,1.176
c1ccc2ncccc2c1,test,1.8502376796666677,1.661,2.164
Cc1ccccc1,test,1.3601514477826384,2.164,2.661
Fc1ccc(Oc2ccnc3cc(Cl)cc(Cl)c23)cc1,test,3.3601514477826386,2.164,2.661
CCCCCCCCCc1ccccc1O,test,2.164352855784437,1.661,2.164
C=C1C(CCl)(CCl)C2(Cl)C(Cl)C(Cl)C1(Cl)C2(Cl)Cl,test,3.3601514477826386,3.176,inf
Cc1cccc(OP(=O)(Oc2cccc(C)c2)Oc2cccc(C)c2)c1,test,1.3601514477826384,1.176,1.661
Clc1cc(Cl)cc(Cl)c1,test,1.8502376796666677,2.661,3.176
Oc1ccc(Cl)cc1Cl,test,1.8502376796666677,1.661,2.164
CCC(=O)CC,test,1.3601514477826384,1.176,1.661
C#CCCCC,test,2.8502376796666677,1.661,2.164
c1ccc(C2CO2)cc1,test,2.3601514477826386,1.661,2.164
COCc1cnc(C2=NC(=O)C(C)(C(C)C)N2)c(C(=O)O)c1,test,2.7611758131557314,1.661,2.164
c1ccc2c(c1)c1cccc3ccc4cccc2c4c31,test,2.942008053022313,2.661,3.176
ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,test,2.8502376796666677,3.176,inf
Cc1ccccc1O,test,2.3601514477826386,0.671,1.176
CC(=O)c1ccccc1,test,0.8502376796666677,1.176,1.661
c1ccc2c(c1)cc1ccc3c4ccccc4cc4ccc2c1c43,test,2.708420900134713,2.661,3.176
CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],test,3.3601514477826386,2.164,2.661
C1COCCO1,test,3.3601514477826386,1.661,2.164
COP(=O)(OC)OC=C(Cl)Cl,test,1.1760912590556813,1.661,2.164
CN=C(O)Oc1cccc2c1OC(C)(C)C2,test,3.3601514477826386,1.661,2.164
Oc1cc(Cl)c(Cl)cc1Cl,test,1.3601514477826384,1.176,1.661
CCCCOC=O,test,1.8502376796666677,1.176,1.661
C,test,1.2304489213782739,1.661,2.164
Nc1cc(Cl)cc(Cl)c1,test,2.173186268412274,2.164,2.661
COc1nc(C)nc(=NC(O)=NS(=O)(=O)c2ccccc2CCC(F)(F)F)[nH]1,test,1.0791812460476249,2.164,2.661
CCO,test,2.3601514477826386,0.671,1.176
Oc1c(Br)cccc1Br,test,0.8450980400142568,0.671,1.176
CC(C)N(C(=O)CCl)c1ccccc1,test,2.0,2.164,2.661
OC(Cc1ccccc1Cl)(Cn1[nH]cnc1=S)C1(Cl)CC1,test,0.8260748027008264,2.164,2.661
Ic1ccccc1,test,2.3601514477826386,2.661,3.176
Cc1cccc(C)c1C,test,1.8502376796666677,2.164,2.661
O=C(c1ccccc1)c1ccccc1,test,2.3601514477826386,1.176,1.661
O=C1c2ccccc2C(=O)c2c(O)cccc21,test,1.0,0.671,1.176
CCCO,test,2.8502376796666677,0.671,1.176
