smiles,split,y_log10,y_lower,y_upper
CCCCCCCCCCCCCCc1ccccc1,train,-0.14976232033333228,0.671,1.176
C=CCCCCCC,train,0.36015144778263847,0.671,1.176
CCC(C)=O,train,1.3601514477826384,0.176,0.671
O=CO,train,0.36015144778263847,0.176,0.671
CCCCC(C)C(C)C,train,0.3424226808222063,0.671,1.176
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1,train,1.1760912590556813,1.176,1.661
COc1cc(OC)nc(N=C(O)NS(=O)(=O)c2cc(N=CO)ccc2C(=O)N(C)C)n1,train,0.09691001300805642,1.661,2.164
CCCCc1ccccc1,train,1.276461804173244,0.176,0.671
Nc1ccc(-c2ccc(N)cc2)cc1,train,0.36015144778263847,0.671,1.176
c1ccc(Nc2ccccc2)cc1,train,1.8502376796666677,0.671,1.176
c1cc2ccc3cccc4ccc(c1)c2c34,train,-0.14976232033333228,1.661,2.164
CCOCC,train,0.36015144778263847,1.176,1.661
CC1CC2C(C)CCC(C)C2CC1C,train,1.8129133566428555,1.176,1.661
CCC(C)CC(C)CC,train,0.505149978319906,0.671,1.176
CCCC(C)(C)C,train,0.8129133566428556,0.671,1.176
CCCCCC(C)=O,train,0.36015144778263847,0.671,1.176
CCCCCCCCCCCCCCCC,train,0.9542425094393249,1.661,2.164
c1ccc2c(c1)-c1cccc3c1C2CCC3,train,1.734799829588847,1.176,1.661
Cc1ccc(-c2ccccc2Cl)c(Cl)c1,train,1.0170333392987803,2.164,2.661
c1ccc2sccc2c1,train,0.8502376796666677,1.176,1.661
CCCCCCCCCC(C)C,train,2.2810333672477277,0.176,0.671
CC1(C)N=C(O)N=C1O,train,1.2304489213782739,2.164,2.661
CCCCCCCCCCCCc1ccccc1,train,1.7403626894942439,0.671,1.176
Cc1cccc2c1CCC2,train,0.5910646070264992,0.176,0.671
CC1(C)CCCCC1,train,0.5910646070264992,0.671,1.176
CCC(C)C,train,0.4471580313422192,0.176,0.671
Cc1cc(Cl)ccc1OC(C)C(=O)O,train,0.9590413923210935,0.671,1.176
